id,scrape_id,last_scraped,name,host_id,street,city,latitude,longitude,is_location_exact
3581362,2.02E+13,7/12/2018,"Central, spacious single bedroom",18037920,"Brunswick East, VIC, Australia",Brunswick East,-37.77477571,144.9762727,t
3585612,2.02E+13,7/12/2018,Bright & cosy apartment in Fitzroy,4168854,"Fitzroy North, VIC, Australia",Fitzroy North,-37.79082836,144.9775534,t
3605516,2.02E+13,7/12/2018,Jinks Creek Cottage,18169299,"Tonimbuk, VIC, Australia",Tonimbuk,-38.02849029,145.7229381,f
3605555,2.02E+13,7/12/2018,Melbourne inner city home,4284236,"Fairfield, VIC, Australia",Fairfield,-37.77901382,145.0235602,t
3615325,2.02E+13,7/12/2018,Modern Townhouse,18215819,"Clifton Hill, VIC, Australia",Clifton Hill,-37.79082358,145.0050555,t
3616706,2.02E+13,7/12/2018,The Hawks Nest- South Yarra living.,113346,"South Yarra, VIC, Australia",South Yarra,-37.84741681,145.0030603,t
3617278,2.02E+13,7/12/2018,"Spacious loft, ensuite, very private quiet area.",16446492,"Huntingdale, VIC, Australia",Huntingdale,-37.90863723,145.1125299,t
3618990,2.02E+13,7/12/2018,"Creative, Cozy, Designer Apartment",10457847,"Brunswick, VIC, Australia",Brunswick,-37.76671258,144.9604482,t
3622287,2.02E+13,7/12/2018,"St.Kilda Art Apartment Two Bedroom, WiFi & parking",4420991,"St Kilda, VIC, Australia",St Kilda,-37.86744859,144.9778766,t
3629529,2.02E+13,7/12/2018,Comfort and views at the Victoria Market,17280438,"North Melbourne, VIC, Australia",North Melbourne,-37.80707346,144.954769,t
3629608,2.02E+13,7/12/2018,Private/spacious/fun ~  family or friends,18290192,"Reservoir, VIC, Australia",Reservoir,-37.7187985,144.9937868,t
3630251,2.02E+13,7/12/2018,Private ensuite bedroom in cosy home near beach,3970719,"Hampton, VIC, Australia",Hampton,-37.94153075,145.0141871,t
3630319,2.02E+13,7/12/2018,Room & bathroom on separate floor,1125960,"South Melbourne, VIC, Australia",South Melbourne,-37.83384819,144.9678532,t
3630323,2.02E+13,7/12/2018,National forest at your door step in Olinda,18298361,"Olinda, VIC, Australia",Olinda,-37.85529927,145.3582103,t
3633953,2.02E+13,7/12/2018,Perfectly Located Private Apartment,6605386,"Richmond, VIC, Australia",Richmond,-37.82213908,144.9944071,t
3638974,2.02E+13,7/12/2018,Stylish Apartment on Collins St,2136781,"Melbourne, VIC, Australia",Melbourne,-37.81628864,144.9647972,t
3639096,2.02E+13,7/12/2018,"Art Deco, Rooftop Garden",18362775,"South Yarra, VIC, Australia",South Yarra,-37.84275356,145.0043297,t
3639945,2.02E+13,7/12/2018,Cosy 2br ground floor unit - whole unit,4205090,"brunswick, VIC, Australia",brunswick,-37.75518418,144.9526638,f
3640539,2.02E+13,7/12/2018,Waterloo 1 BR loft apartment w FREE WiFi & parking,17986194,"St Kilda, VIC, Australia",St Kilda,-37.86405357,144.9812977,t
3646003,2.02E+13,7/12/2018,"Modern, spacious apartment, 15 mins walk to city!",18418070,"North Melbourne, VIC, Australia",North Melbourne,-37.80328113,144.9477006,t
3646402,2.02E+13,7/12/2018,"LAKOTA HOUSE, Cosy house with views",14910747,"Mount Toolebewong, VIC, Australia",Mount Toolebewong,-37.72272686,145.5650927,t
3649898,2.02E+13,7/12/2018,Cute terrace in great location,3344509,"Fitzroy North, VIC, Australia",Fitzroy North,-37.78080136,144.9818239,t
3655585,2.02E+13,7/12/2018,2BD Park & Sea views *WIFI GYM PARKING,1739996,"Melbourne, VIC, Australia",Melbourne,-37.84018783,144.9775969,t
3658967,2.02E+13,7/12/2018,å¢¨å°”æœ¬Doncasterä¸€æˆ¿å‡ºç§Ÿ,18541709,"å¢¨å°”æœ¬, ç»´å¤šåˆ©äºšå·ž, Australia",å¢¨å°”æœ¬,-37.78611619,145.1058672,t
3660286,2.02E+13,7/12/2018,CBD New Apt/High Level Water View/Pool Gym,7190278,"Melbourne, VIC, Australia",Melbourne,-37.81466042,144.9534026,f
3667038,2.02E+13,7/12/2018,Slick Melbournian townhouse!,18597148,"Brunswick, VIC, Australia",Brunswick,-37.77592466,144.9487287,t
3667635,2.02E+13,7/12/2018,Langbrook Estate Cottage,18603335,"Yarra Junction, VIC, Australia",Yarra Junction,-37.81503341,145.6358664,t
3672661,2.02E+13,7/12/2018,BARGAIN ST KILDA APT WITH PARKING,7416015,"St Kilda, VIC, Australia",St Kilda,-37.86342453,144.9846244,t
3678091,2.02E+13,7/12/2018,Panoramic Views Across The Bay,1710397,"St Kilda, VIC, Australia",St Kilda,-37.86414565,144.9739343,t
